titolo,descrizione,link,data,guid
Nella giuria della Mostra del cinema di Venezia anche Tornatore,Da Gray a Holland per decidere i premi con la presidenza Huppert,https://www.ansa.it/sito/notizie/topnews/2024/07/10/nella-giuria-della-mostra-del-cinema-di-venezia-anche-tornatore_7f2999a9-7025-48a4-8310-cf14e6e56d4b.html,"Wed, 10 Jul 2024 12:26:01 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/nella-giuria-della-mostra-del-cinema-di-venezia-anche-tornatore_7f2999a9-7025-48a4-8310-cf14e6e56d4b.html
"Volantini Israele su Gaza City, 'abitanti andate via'","'Zona pericolosa, spostarsi verso sud in zone umanitarie'",https://www.ansa.it/sito/notizie/topnews/2024/07/10/volantini-israele-su-gaza-city-abitanti-andate-via_13162ec0-e1ce-4dd8-90b3-d339f6c53c4b.html,"Wed, 10 Jul 2024 12:09:34 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/volantini-israele-su-gaza-city-abitanti-andate-via_13162ec0-e1ce-4dd8-90b3-d339f6c53c4b.html
"Von der Leyen, 'non ci sarà alleanza strutturale con Ecr'","Fonti, lo ha assicurato nel corso della riunione con i Liberali",https://www.ansa.it/sito/notizie/topnews/2024/07/10/von-der-leyen-non-ci-sara-alleanza-strutturale-con-ecr_889ad958-3086-4810-95ef-56d23d95b3fe.html,"Wed, 10 Jul 2024 11:53:45 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/von-der-leyen-non-ci-sara-alleanza-strutturale-con-ecr_889ad958-3086-4810-95ef-56d23d95b3fe.html
"Istruttoria Antitrust sugli influencer, 6 nel mirino",Avviate anche iniziative di moral suasion per altri 4,https://www.ansa.it/sito/notizie/topnews/2024/07/10/istruttoria-antitrust-sugli-influencer-6-nel-mirino_e617da41-5cdb-440b-8620-218b0dc96666.html,"Wed, 10 Jul 2024 11:49:24 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/istruttoria-antitrust-sugli-influencer-6-nel-mirino_e617da41-5cdb-440b-8620-218b0dc96666.html
"Berlino, inaccettabili attacchi Israele su scuole a Gaza",Ministero degli Esteri su X,https://www.ansa.it/sito/notizie/topnews/2024/07/10/berlino-inaccettabili-attacchi-israele-su-scuole-a-gaza_a3bc2323-dd88-49d0-8567-41f9b0cc9240.html,"Wed, 10 Jul 2024 11:47:04 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/berlino-inaccettabili-attacchi-israele-su-scuole-a-gaza_a3bc2323-dd88-49d0-8567-41f9b0cc9240.html
Rapina con sparatoria in centro commerciale a Roma,"Obiettivo dei ladri una gioielleria, sono fuggiti",https://www.ansa.it/sito/notizie/topnews/2024/07/10/rapina-con-sparatoria-in-centro-commerciale-a-roma_a0e0ec01-a381-4297-92bd-faecea6bb0ca.html,"Wed, 10 Jul 2024 11:48:14 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/rapina-con-sparatoria-in-centro-commerciale-a-roma_a0e0ec01-a381-4297-92bd-faecea6bb0ca.html
"Budapest, informato Michel e altri su risultati visite pace","'Orban non ha mai parlato a nome dell'Ue', dice ministro Boka",https://www.ansa.it/sito/notizie/topnews/2024/07/10/budapest-informato-michel-e-altri-su-risultati-visite-pace_557fe837-f430-417b-a338-18a78656a581.html,"Wed, 10 Jul 2024 11:42:02 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/budapest-informato-michel-e-altri-su-risultati-visite-pace_557fe837-f430-417b-a338-18a78656a581.html
"Budapest, nessuna proposta per toglierci presidenza Ue",Lo ha detto il ministro ungherese per gli Affari europei Boka,https://www.ansa.it/sito/notizie/topnews/2024/07/10/budapest-nessuna-proposta-per-toglierci-presidenza-ue_6ec1f47b-2c0e-4d63-a464-638a425746a3.html,"Wed, 10 Jul 2024 11:40:33 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/budapest-nessuna-proposta-per-toglierci-presidenza-ue_6ec1f47b-2c0e-4d63-a464-638a425746a3.html
"Due italiani in concorso a Locarno, Giordana fuori gara",Aprirà in Piazza Grande Le Déluge di Jodice con Cantet e Laurent,https://www.ansa.it/sito/notizie/topnews/2024/07/10/due-italiani-in-concorso-a-locarno-giordana-fuori-gara_9aee0bc9-699f-419e-85f4-03626e3a43d4.html,"Wed, 10 Jul 2024 11:12:56 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/due-italiani-in-concorso-a-locarno-giordana-fuori-gara_9aee0bc9-699f-419e-85f4-03626e3a43d4.html
"Strage Erba, Olindo: 'Spero davvero in un nuovo processo'","A Brescia giudici in camera di consiglio, oggi la decisione",https://www.ansa.it/sito/notizie/topnews/2024/07/10/strage-erba-olindo-spero-davvero-in-un-nuovo-processo_0146a503-2ee3-48d3-80e8-9332e0f06326.html,"Wed, 10 Jul 2024 11:07:48 +0200",https://www.ansa.it/sito/notizie/topnews/2024/07/10/strage-erba-olindo-spero-davvero-in-un-nuovo-processo_0146a503-2ee3-48d3-80e8-9332e0f06326.html
